Facility_Id,Facility_Name,City,State,Zip Code,Address,County,Latitude,Longitude,Industry_Type,Total
1004026,BRICKYARD DISPOSAL LANDFILL,DANVILLE,IL,61832,601 EAST BRICKYARD ROAD,VERMILION,40.1,-87.6,Waste,85460.45
1007992,COUNTRYSIDE LANDFILL,GRAYSLAKE,IL,60030,31725 N RT 83,LAKE,42.32,-88.02,Waste,85551.9
1002621,"NUCOR STEEL KANKAKEE, INC.",BOURBONNAIS,IL,60914,ONE NUCOR WAY,KANKAKEE COUNTY,41.18,-87.86,Metals,86254.67
1007724,DEKALB COUNTY LANDFILL,DEKALB,IL,60115,18370 SOMONAUK ROAD,DEKALB,41.9,-88.69,Waste,87058.4
1002567,WHITESIDE COUNTY LANDFILL,MORRISON,IL,61270,18762 LINCOLN RD.,WHITESIDE,41.79,-89.89,Waste,91259.05
1001381,Shelby County Energy Center,NEOGA,IL,62447,3575 E 400 North Road,Shelby,39.28,-88.48,Power Plants,92994.8
1006554,Rockford Energy Center,ROCKFORD,IL,61104,136 HARRISON AVE,Winnebago,42.24,-89.1,Power Plants,95648.4
1007467,CLINTON LANDFILL INC,CLINTON,IL,61727,9550 HERITAGE RD,DEWITT,40.11,-88.96,Waste,97411.5
1004072,PILKINGTON N.A.,OTTAWA,IL,61350,300 20th Street,LA SALLE,41.33,-88.88,Minerals,98754.2
1004427,Horsehead Corp. - Chicago,CHICAGO,IL,60617,2701 E. 114TH ST.,COOK,41.69,-87.55,Metals,101842.42
1005868,UNIVERSITY OF CHICAGO,CHICAGO,IL,60637,6101 S BLACKSTONE,COOK,41.78,-87.59,Other,102580.7
1003526,WEDRON COMPLEX (WEDRON SILICA CO & TECHNISAND WEDRON),WEDRON,IL,60557,3450 E 2056TH RD,LA SALLE,41.43,-88.77,Other,104598.7
1000079,SOUTHERN ILLINOIS UNIVERSITY,CARBONDALE,IL,62901,210 PHYSICAL PLANT DR,JACKSON,37.71,-89.22,Other,104918.6
1009505,"Flint Hills Resources Joliet, LLC",Channahon,IL,60410,23425 Amoco Road,Will,41.44,-88.17,Chemicals,108457.94
1006553,"Advanced Tri-Gen Power Systems, LLC",Mossville,IL,61552,1823 East Neal Lane,PEORIA,40.84,-89.56,Power Plants,108673.64
1004936,Rochelle Municipal Landfill,Rochelle,IL,61068,6513 South Mulford Road,OGLE,41.93,-89,Waste,112929.6
1005916,INDIAN CREEK LANDFILL #2,HOPEDALE,IL,61747,24501 W MCMULLEN RD,TAZEWELL,40.42,-89.47,Waste,115078.25
1003742,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,DUPAGE,41.83,-87.92,Waste,120657.6
1004756,UNIVERSITY OF ILLINOIS AT CHICAGO,CHICAGO,IL,60607,1100 SOUTH MORGAN STREET,COOK,41.87,-87.65,Other,121405.29
1001686,Wildcat Hills Mine,Eldorado,IL,62930,115 Grayson Lane,SALINE,37.78,-88.39,Other,121680.4
1009864,"Spartan Light Metal Products, Inc.",Sparta,IL,62286,510 East McClurken Ave,RANDOLPH COUNTY,38.12,-89.7,Metals,126011.27
1006403,University Park Energy,UNIVERSITY PARK,IL,60466,2635 DRALLE ROAD,Will,41.44,-87.75,Power Plants,126905.18
1004861,ILLINOIS CORN PROCESSING LLC,PEKIN,IL,61554,1307 S FRONT ST,TAZEWELL,40.56,-89.67,Other,128565.83
1000376,ADM QUINCY,QUINCY,IL,62306,2100 GARDNER EXPRESSWAY,ADAMS,39.91,-91.41,Other,131129.5
1004811,KEYSTONE STEEL & WIRE CO,PEORIA,IL,61641,7000 SOUTH ADAMS STREET,PEORIA,40.64,-89.65,Metals,133173.99
1001637,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,DAVIS JUNCTION,IL,61020,8290 HIGHWAY 251,OGLE,42.14,-89.09,Waste,133228.6
1008269,Milam Recycling and Disposal Facility,East Saint Louis,IL,62201,601 Madison Road,SAINT CLAIR,38.66,-90.12,Waste,135101.93
1004085,Fuyao Glass Illinois Inc.,Decatur,IL,62521,2768 E Elwin Rd,MACON,39.78,-88.9,Minerals,143376.3
1004059,QUAD CITIES LANDFILL PHASE IV,MILAN,IL,61264,13606 KNOXVILLE ROAD,ROCK ISLAND,41.38,-90.51,Waste,143473.75
1000817,"Elgin Energy Center, LLC",ELGIN,IL,60120,1559 GIFFORD ROAD,Cook,42,-88.24,Power Plants,144491.36
1003697,ROXANA LANDFILL,ROXANA,IL,62084,4600 CAHOKIA CREEK RD,MADISON,38.82,-90.01,Waste,147190.6
1006325,ARCELORMITTAL RIVERDALE LLC,RIVERDALE,IL,60827,13500 S PERRY AVE,COOK,41.66,-87.63,Metals,151711.24
1005170,Green Plains Madison LLC,MADISON,IL,62060,395 BISSELL ST,MADISON COUNTY,38.68,-90.17,Other,152412.48
1005939,RAIN CII CARBON LLC - ROBINSON CALCINING PLANT,ROBINSON,IL,62454,12187 E 950TH ST,CRAWFORD COUNTY,38.99,-87.72,Petroleum and Natural Gas Systems,156889.69
1007110,Equistar Tuscola Plant,TUSCOLA,IL,61953,625 EAST US HIGHWAY 36,Douglas,39.8,-88.35,Other,163524.04
1002249,LIVINGSTON LANDFILL,PONTIAC,IL,61764,14206 E 2100 N RD,LIVINGSTON,40.93,-88.66,Waste,164560.3
1006176,PRAIRIE VIEW RECYCLING & DISPOSAL FAC,WILMINGTON,IL,60481,29755 S PRAIRIE VIEW DR,WILL,41.35,-88.1,Waste,166603.47
1006358,WINNEBAGO LANDFILL,ROCKFORD,IL,61109,8403 LINDENWOOD RD,WINNEBAGO,42.16,-89.06,Waste,180539.55
1001515,"Grand Tower Energy Center, LLC",GRAND TOWER,IL,62942,1820 POWER PLANT ROAD,Jackson,37.66,-89.51,Power Plants,195266.38
1001519,Joliet 9,JOLIET,IL,60436,1601 PATTERSON RD,Will,41.49,-88.13,Power Plants,213238.72
1001397,Aurora Generating Station,AURORA,IL,60504,2909 NORTH EOLA ROAD,Dupage,41.82,-88.23,Power Plants,223609.97
1004899,ST MARYS CEMENT INC-DIXON PLANT,DIXON,IL,61021,1914 WHITE OAK LN.,LEE,41.86,-89.45,Minerals,245725.57
1001893,UNIVERSITY OF ILLINOIS,CHAMPAIGN,IL,61820,354 ADMINISTRATION BUILDING,CHAMPAIGN,40.09,-88.24,Other,248300.82
1000805,Zion Energy Center,ZION,IL,60099,5701 NINTH ST,Lake,42.48,-87.9,Power Plants,261586.28
1000342,EQUISTAR CHEMICALS LP,MORRIS,IL,60450,8805 N. TABLER RD.,GRUNDY,41.41,-88.33,Chemicals,303684.68
1002044,"LINDE GAS NORTH AMERICA LLC, LEMONT PLANT",ROMEOVILLE,IL,60446,810 E 135TH ST,WILL,41.64,-88.1,Chemicals,337575.6
1010051,"White County Coal, LLC",Carmi,IL,62821,1525 County Road 1300 North,WHITE,38.06,-88.09,Other,364202.5
1011237,White Oak Resources Mine No. 1/Hamilton County Coal,Dahlgren,IL,62828,,HAMILTON COUNTY,38.17,-88.6,Other,377054.5
1007979,"Morris Cogeneration, LLC",MORRIS,IL,60450,8805 N TABLER RD,Grundy,41.41,-88.33,Power Plants,392094.41
1001353,Nelson Energy Center,Rock Falls,IL,61071,1311 Nelson Road,Lee,41.77,-89.61,Power Plants,419751.84
1000135,"LSP University Park, LLC",UNIVERSITY PARK,IL,60466,787 INDUSTRIAL DRIVE,Will,41.44,-87.75,Power Plants,450092.03
1005374,MARQUIS ENERGY LLC,HENNEPIN,IL,61327,11953 Prairie Industrial Parkway,PUTNAM,41.28,-89.32,Other,454220.54
1010198,Pond Creek No. 1 Mine,Marion,IL,62959,16468 Liberty School Road,WILLIAMSON COUNTY,37.83,-88.84,Other,466180
1000243,LAFARGE MIDWEST INC JOPPA PLANT,GRAND CHAIN,IL,62941,2500 PORTLAND RD,PULASKI,37.22,-88.88,Minerals,543671.22
1000792,Holland Energy Facility,BEECHER CITY,IL,62414,2061 East 000 North Road,Shelby,39.22,-88.76,Power Plants,567912.84
1000466,Archer Daniels Midland Co. - Peoria,PEORIA,IL,61602,FOOT OF EDMUND ST,Peoria,40.68,-89.61,Other,608242.26
1003204,GATEWAY ENERGY & COKE CO LLC,GRANITE CITY,IL,62040,2585 EDWARDSVILLE RD,MADISON COUNTY,38.7,-90.13,Metals,618218.63
1001359,Elwood Energy Facility,ELWOOD,IL,60421,24391 PATTERSON RD,Will,41.44,-88.12,Power Plants,712764.11
1006738,ILLINOIS CEMENT CO,LASALLE,IL,61301,1601 ROCKWELL ROAD,LA SALLE,41.33,-89.08,Minerals,719930.05
1000261,Ingredion Incorporated Argo Plant,BEDFORD PARK,IL,60501,6400 SOUTH ARCHER AVE,Cook,41.78,-87.82,Other,723544.87
1010108,New Era Mine,Galatia,IL,62935,9085 Hwy 34 North,SALINE,37.82,-88.58,Other,788007.17
